id,project_id,deliverable,project_stage,project_step,created_at,updated_at,status,type
,4,2x Service Page Additions ,Live,,,,,
,4,5 pillar article + 3x social posts for each ,Live,,,,,
,7,AI and API connection for Plan Data,Build,,,,,
,5,authority launch pack,Live,,,,,
7,,Coastal Native Supply Redirections & Migration fallback,Build,,,,,
,2,content sprint — 3 pillar + 6 supporting articles,Live,,,,,
4,4,Conversion Redesign,Build,,,,,
,3,Google Merchant Connection,Live,,,,,
,3,Off-site authority programme,Live,,,,,
,3,Online Store Images,Build,,,,,
,3,Online Store Setup,Build,,,,,
3,3,Content production (2 articles/month),Live,,,,,
,3,SEO & conversion review report with prioritised action list,Live,,,,,
,7,Technical SEO baseline,Build,,,,,
,5,Technical SEO baseline,Build,,,,,
,6,Technical SEO baseline,Build,,,,,
,2,Technical SEO baseline ,Build,,,,,
8,7,website rebuild,Build,,,,,
5,5,website rebuild,Build,,,,,
6,6,website rebuild,Build,,,,,
2,2,Website Rebuild & Migration,Build,,,,,